date,symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
24-04-2008,TECHM,EQ,834.7,849,855,796.1,806,804.6,823.05,154465,1.27133E+13,,61268,0.3966
25-04-2008,TECHM,EQ,804.6,815.5,824,802,813,812.55,813.64,93139,7.57816E+12,,25841,0.2774
28-04-2008,TECHM,EQ,812.55,849,859.6,807,816,813.95,830.81,153823,1.27798E+13,,37111,0.2413
29-04-2008,TECHM,EQ,813.95,821,909.9,805,902,902.65,873.56,489407,4.27526E+13,,112878,0.2306
30-04-2008,TECHM,EQ,902.65,915,939.8,884.05,909,913.6,919.02,505803,4.64841E+13,,109110,0.2157
02-05-2008,TECHM,EQ,913.6,929,969,921,947.9,950.85,945.37,369236,3.49064E+13,,96389,0.261
05-05-2008,TECHM,EQ,950.85,961,961,915.25,916,919.05,932.12,166867,1.5554E+13,,54836,0.3286
06-05-2008,TECHM,EQ,919.05,852.8,957,849.95,953.5,942.4,923.22,380961,3.51709E+13,,58576,0.1538
07-05-2008,TECHM,EQ,942.4,950,979.8,912.4,955,953.15,963.35,512426,4.93646E+13,,99741,0.1946
08-05-2008,TECHM,EQ,953.15,940.05,960.1,925,931,934.25,942.18,263317,2.48093E+13,,48165,0.1829
09-05-2008,TECHM,EQ,934.25,930,947,885,887,896.45,919.74,197663,1.81799E+13,,48811,0.2469
12-05-2008,TECHM,EQ,896.45,890,939.05,852.65,916,921.25,912.42,302907,2.76379E+13,,42174,0.1392
13-05-2008,TECHM,EQ,921.25,925.05,948,890,898,903.15,927.67,250992,2.32837E+13,,63753,0.254
14-05-2008,TECHM,EQ,903.15,900,944,891,933.05,932.7,930.44,262364,2.44114E+13,,46394,0.1768
15-05-2008,TECHM,EQ,932.7,945,962.9,927.35,931.8,932.9,947.2,309404,2.93067E+13,,59895,0.1936
16-05-2008,TECHM,EQ,932.9,984.6,984.6,951,953.7,956.7,966.85,425108,4.11016E+13,,91772,0.2159
20-05-2008,TECHM,EQ,956.7,890,933,890,912,906.3,910.52,600876,5.47108E+13,,223111,0.3713
21-05-2008,TECHM,EQ,906.3,895,905,865,867,868.45,878.69,432011,3.79604E+13,,191375,0.443
22-05-2008,TECHM,EQ,868.45,867,892,837.1,839,842.1,860.46,382760,3.29349E+13,,155467,0.4062
23-05-2008,TECHM,EQ,842.1,842.1,862.8,822.8,822.8,829.3,842.83,344258,2.90152E+13,,115424,0.3353
26-05-2008,TECHM,EQ,829.3,815,834.7,805.55,813.9,815.1,819.54,299042,2.45076E+13,,76375,0.2554
